MK_Time,Close,EMA_12,EMA_26,MACD
1614060000.0,385.8599853515625,,,
1614060000.0,388.8500061035156,,,
1614060000.0,387.510009765625,,,
1614146400.0,387.42999267578125,,,
1614146400.0,389.3900146484375,,,
1614146400.0,390.8800048828125,,,
1614146400.0,391.3999938964844,,,
1614146400.0,391.5299987792969,,,
1614146400.0,391.8699951171875,,,
1614146400.0,391.75,,,
1614232800.0,389.7200012207031,,,
1614232800.0,388.4949951171875,,,
1614232800.0,385.4100036621094,,,
1614232800.0,384.5499877929688,,,
1614232800.0,386.4649963378906,,,
1614232800.0,382.25,,,
1614232800.0,382.3900146484375,,,
1614319200.0,378.5400085449219,,,
1614319200.0,381.8699951171875,,,
1614319200.0,384.70001220703125,,,
1614319200.0,384.5199890136719,,,
1614319200.0,381.8200073242188,,,
1614319200.0,382.5350036621094,,,
1614319200.0,380.3200073242188,,,
1614578400.0,388.0299987792969,,,
1614578400.0,388.8200073242188,,,
1614578400.0,389.3200073242188,,,
1614578400.0,389.0199890136719,,,
1614578400.0,390.3999938964844,,,
1614578400.0,390.3349914550781,,,
1614578400.0,389.5199890136719,,,
1614664800.0,387.5499877929688,,,
1614664800.0,388.0,,,
1614664800.0,388.2300109863281,,,
1614664800.0,389.1000061035156,,,
1614664800.0,388.3200073242188,,,
1614664800.0,387.8500061035156,,,
1614664800.0,386.5499877929688,,,
1614751200.0,384.0,,,
1614751200.0,386.3200073242188,,,
1614751200.0,384.93499755859375,,,
1614751200.0,385.4400024414063,,,
1614751200.0,383.2300109863281,,,
1614751200.0,383.0000915527344,,,
1614751200.0,381.45001220703125,,,
1614837600.0,380.2799987792969,,,
1614837600.0,382.0299987792969,,,
1614837600.0,380.5199890136719,,,
1614837600.0,376.7999877929688,,,
1614837600.0,376.0899963378906,,,
1614837600.0,375.88800048828125,,,
1614837600.0,376.739990234375,,,
1614924000.0,376.0799865722656,,,
1614924000.0,373.0698852539063,,,
1614924000.0,378.0210876464844,,,
1614924000.0,380.8150024414063,,,
1614924000.0,381.6700134277344,,,
1614924000.0,383.2699890136719,,,
1614924000.0,383.6099853515625,,,
1615183200.0,386.70001220703125,384.8196,,
1615183200.0,387.20001220703125,385.1089,,
1615183200.0,386.9100036621094,385.4306,,
1615183200.0,387.3200073242188,385.6582,,
1615183200.0,385.7701110839844,385.9139,,
1615183200.0,383.0899963378906,385.8918,,
1615183200.0,381.739990234375,385.4608,,
1615269600.0,388.3500061035156,384.8884,,
1615269600.0,388.6700134277344,385.421,,
1615269600.0,389.55999755859375,385.9208,,
1615269600.0,389.4049987792969,386.4807,,
1615269600.0,389.0050048828125,386.9306,,
1615269600.0,389.010009765625,387.2497,,
1615269600.0,387.1199951171875,387.5205,,
1615356000.0,388.5,387.4589,,
1615356000.0,389.8999938964844,387.6191,,
1615356000.0,389.5400085449219,387.97,,
1615356000.0,390.3800048828125,388.2115,,
1615356000.0,390.3599853515625,388.5451,,
1615356000.0,390.0799865722656,388.8243,,
1615356000.0,389.510009765625,389.0175,,
1615442400.0,392.9700012207031,389.0933,,
1615442400.0,394.78948974609375,389.6897,,
1615442400.0,394.95001220703125,390.4743,,
1615442400.0,394.8150024414063,391.1629,,
1615442400.0,394.951904296875,391.7248,,
1615442400.0,394.1400146484375,392.2213,,
1615442400.0,393.4800109863281,392.5165,,
1615528800.0,391.7099914550781,392.6647,,
1615528800.0,392.2130126953125,392.5178,,
1615528800.0,393.0,392.4709,,
1615528800.0,393.0499877929688,392.5523,,
1615528800.0,393.0,392.6289,,
1615528800.0,393.42999267578125,392.686,,
1615528800.0,394.0899963378906,392.8005,,
1615784400.0,393.6000061035156,392.9989,,
1615784400.0,392.989990234375,393.0914,,
1615784400.0,393.6050109863281,393.0758,,
1615784400.0,394.1650085449219,393.1572,,
1615784400.0,395.2999877929688,393.3122,,
1615784400.0,394.7300109863281,393.618,,
1615784400.0,396.4599914550781,393.7891,,
1615870800.0,397.5799865722656,394.2,,
1615870800.0,397.2850036621094,394.72,,
1615870800.0,396.30499267578125,395.1146,,
1615870800.0,396.9761962890625,395.2977,,
1615870800.0,395.3999938964844,395.5559,,
1615870800.0,396.2300109863281,395.5319,,
1615870800.0,395.9400024414063,395.6393,,
1615957200.0,394.75,395.6856,,
1615957200.0,394.2099914550781,395.5417,,
1615957200.0,394.5400085449219,395.3368,,
1615957200.0,394.239990234375,395.2142,,
1615957200.0,395.2900085449219,395.0643,,
1615957200.0,397.114990234375,395.099,,
1615957200.0,397.2300109863281,395.4092,,
1616043600.0,395.048095703125,395.6893,,
1616043600.0,395.82501220703125,395.5907,,
1616043600.0,396.2999877929688,395.6267,,
1616043600.0,395.5924987792969,395.7303,,
1616043600.0,393.9198913574219,395.7091,,
1616043600.0,392.80999755859375,395.4338,,
1616043600.0,391.4100036621094,395.0301,,
1616130000.0,388.7969970703125,394.4732,,
1616130000.0,389.0,393.5999,,
1616130000.0,390.6300048828125,392.8922,,
1616130000.0,390.95001220703125,392.5442,,
1616130000.0,390.8200988769531,392.2989,,
1616130000.0,390.80999755859375,392.0714,,
1616130000.0,389.5,391.8773,,
1616389200.0,391.4400024414063,391.5116,388.825,2.6865999999999985
1616389200.0,392.1300048828125,391.5006,389.0187,2.481899999999996
1616389200.0,392.92999267578125,391.5974,389.2492,2.34820000000002
1616389200.0,393.010009765625,391.8024,389.5219,2.280499999999961
1616389200.0,393.4880065917969,391.9882,389.7803,2.207899999999995
1616389200.0,393.0982055664063,392.2189,390.0549,2.164000000000044
1616389200.0,392.5199890136719,392.3542,390.2803,2.0738999999999805
1616475600.0,392.6700134277344,392.3797,390.4462,1.9335000000000377
1616475600.0,393.3189086914063,392.4244,390.6109,1.8134999999999764
1616475600.0,392.57501220703125,392.562,390.8115,1.7504999999999882
1616475600.0,392.9800109863281,392.564,390.9421,1.6219000000000392
1616475600.0,391.9700012207031,392.628,391.0931,1.5348999999999933
1616475600.0,391.95001220703125,392.5268,391.1581,1.3686999999999898
